Chain,Park,Name,Height,Speed,Length,Inversions,URL
cedar fair,cedar point,corkscrew,85.0,48.0,2050.0,3,https://rcdb.com/13.htm
cedar fair,cedar point,woodstock express,42.7,28.5,1099.1,0,https://rcdb.com/553.htm
cedar fair,cedar point,maverick,105.0,70.0,4450.0,2,https://rcdb.com/3570.htm
cedar fair,cedar point,steel vengeance,205.0,74.0,5740.0,4,https://rcdb.com/15411.htm
cedar fair,cedar point,raptor,137.0,57.0,3790.0,6,https://rcdb.com/1.htm
cedar fair,cedar point,cedar creek mine ride,48.0,42.0,2540.0,0,https://rcdb.com/18.htm
cedar fair,cedar point,iron dragon,76.0,40.0,2800.0,0,https://rcdb.com/17.htm
cedar fair,cedar point,wilderness run,19.0,6.0,443.0,0,https://rcdb.com/15.htm
cedar fair,cedar point,valravn,223.0,75.0,3415.0,3,https://rcdb.com/13383.htm
cedar fair,cedar point,millennium force,310.0,93.0,6595.0,0,https://rcdb.com/594.htm
cedar fair,cedar point,blue streak,78.0,40.0,2558.0,0,https://rcdb.com/12.htm
cedar fair,cedar point,gemini,125.3,60.0,3935.0,0,https://rcdb.com/14.htm
cedar fair,cedar point,gatekeeper,170.0,67.0,4164.0,6,https://rcdb.com/10891.htm
cedar fair,cedar point,top thrill 2,420.0,120.0,3422.0,0,https://rcdb.com/1896.htm
cedar fair,cedar point,wild mouse,52.0,35.0,1312.0,0,https://rcdb.com/20342.htm
cedar fair,cedar point,siren’s curse,160.0,58.4,2965.9,2,https://rcdb.com/22124.htm
cedar fair,cedar point,magnum xl-200,205.0,72.0,5106.0,0,https://rcdb.com/11.htm
cedar fair,cedar point,rougarou,145.0,60.0,3900.0,4,https://rcdb.com/7.htm
cedar fair,kings island,diamondback,230.0,80.0,5282.0,0,https://rcdb.com/4253.htm
cedar fair,kings island,queen city stunt coaster,45.2,40.0,1960.0,0,https://rcdb.com/2860.htm
cedar fair,kings island,banshee,167.0,68.0,4124.0,7,https://rcdb.com/6640.htm
cedar fair,kings island,adventure express,63.0,35.0,2963.0,0,https://rcdb.com/70.htm
cedar fair,kings island,flight of fear,74.2,54.0,2705.0,4,https://rcdb.com/66.htm
cedar fair,kings island,orion,287.0,91.0,5321.0,0,https://rcdb.com/11437.htm
cedar fair,kings island,bat,78.0,51.0,2352.0,0,https://rcdb.com/73.htm
cedar fair,kings island,mystic timbers,109.2,53.0,3265.0,0,https://rcdb.com/14116.htm
cedar fair,kings island,woodstock express,39.0,35.0,1350.0,0,https://rcdb.com/72.htm
cedar fair,kings island,woodstock’s air rail,48.6,26.0,1122.0,0,https://rcdb.com/1037.htm
cedar fair,kings island,beast,110.0,64.8,7361.0,0,https://rcdb.com/67.htm
cedar fair,kings island,snoopy's soap box racers,75.5,37.3,672.6,0,https://rcdb.com/21087.htm
cedar fair,kings island,racer,88.0,53.0,3415.0,0,https://rcdb.com/69.htm
cedar fair,kings island,great pumpkin coaster,8.0,8.0,199.3,0,https://rcdb.com/74.htm
cedar fair,kings island,invertigo,131.3,50.0,1013.8,3,https://rcdb.com/530.htm
cedar fair,carowinds,woodstock express,,,1356.0,0,https://rcdb.com/82.htm
cedar fair,carowinds,wilderness run,16.0,,416.0,0,https://rcdb.com/498.htm
cedar fair,carowinds,carolina cyclone,95.0,41.0,2100.0,4,https://rcdb.com/81.htm
cedar fair,carowinds,carolina goldrusher,43.0,30.0,2397.0,0,https://rcdb.com/83.htm
cedar fair,carowinds,thunder striker,232.0,75.0,5316.0,0,https://rcdb.com/8588.htm
cedar fair,carowinds,vortex,90.0,50.0,2040.0,2,https://rcdb.com/86.htm
cedar fair,carowinds,fury 325,325.0,95.0,6602.0,0,https://rcdb.com/12273.htm
cedar fair,carowinds,hurler,83.0,50.0,3157.0,0,https://rcdb.com/85.htm
cedar fair,carowinds,flying cobras,116.5,47.0,935.0,3,https://rcdb.com/4269.htm
cedar fair,carowinds,snoopy’s racing railway,,31.1,,0,https://rcdb.com/22011.htm
cedar fair,carowinds,ricochet,45.9,28.0,1213.9,0,https://rcdb.com/1478.htm
cedar fair,carowinds,kiddy hawk,48.6,26.0,1122.0,0,https://rcdb.com/1897.htm
cedar fair,carowinds,copperhead strike,82.0,50.0,3255.0,5,https://rcdb.com/16349.htm
cedar fair,carowinds,afterburn,113.0,62.0,2956.0,6,https://rcdb.com/527.htm
cedar fair,canada's wonderland,bat,116.5,47.0,935.0,3,https://rcdb.com/64.htm
cedar fair,canada's wonderland,silver streak,48.6,26.0,1122.0,0,https://rcdb.com/734.htm
cedar fair,canada's wonderland,leviathan,306.0,92.0,5486.0,0,https://rcdb.com/10108.htm
cedar fair,canada's wonderland,thunder run,33.0,40.0,1083.0,0,https://rcdb.com/63.htm
cedar fair,canada's wonderland,yukon striker,223.0,80.8,3625.0,4,https://rcdb.com/16021.htm
cedar fair,canada's wonderland,vortex,91.0,55.0,2361.0,0,https://rcdb.com/65.htm
cedar fair,canada's wonderland,backlot stunt coaster,45.2,40.0,1960.0,0,https://rcdb.com/2861.htm
cedar fair,canada's wonderland,ghoster coaster,41.0,35.0,1356.0,0,https://rcdb.com/61.htm
cedar fair,canada's wonderland,behemoth,230.0,77.0,5318.0,0,https://rcdb.com/4005.htm
cedar fair,canada's wonderland,snoopy's racing railway,,31.1,,0,https://rcdb.com/20343.htm
cedar fair,canada's wonderland,fly,51.8,35.0,1312.3,0,https://rcdb.com/540.htm
cedar fair,canada's wonderland,alpenfury,164.0,71.5,3280.8,7,https://rcdb.com/22016.htm
cedar fair,canada's wonderland,wonder mountain's guardian,60.0,,1000.0,0,https://rcdb.com/12140.htm
cedar fair,canada's wonderland,wilde beast,82.0,56.0,3150.0,0,https://rcdb.com/60.htm
cedar fair,canada's wonderland,dragon fyre,78.0,50.0,2160.0,4,https://rcdb.com/58.htm
cedar fair,canada's wonderland,mighty canadian minebuster,90.0,55.9,3828.0,0,https://rcdb.com/59.htm
cedar fair,canada's wonderland,flight deck,109.3,49.7,2260.5,5,https://rcdb.com/57.htm
cedar fair,knott's berry farm,hangtime,150.0,57.0,2198.0,5,https://rcdb.com/15413.htm
cedar fair,knott's berry farm,ghostrider,118.0,56.0,4533.0,0,https://rcdb.com/526.htm
cedar fair,knott's berry farm,jaguar!,65.0,35.0,2602.0,0,https://rcdb.com/291.htm
cedar fair,knott's berry farm,pony express,44.3,38.0,1250.0,0,https://rcdb.com/4089.htm
cedar fair,knott's berry farm,coast rider,52.0,37.0,1339.0,0,https://rcdb.com/11074.htm
cedar fair,knott's berry farm,xcelerator,205.0,82.0,2202.0,0,https://rcdb.com/1574.htm
cedar fair,knott's berry farm,sierra sidewinder,64.0,36.9,1505.9,0,https://rcdb.com/3704.htm
cedar fair,knott's berry farm,silver bullet,146.0,55.0,3125.0,6,https://rcdb.com/2536.htm
cedar fair,california's great america,psycho mouse,,,1257.0,0,https://rcdb.com/1036.htm
cedar fair,california's great america,woodstock express,,,1300.0,0,https://rcdb.com/78.htm
cedar fair,california's great america,patriot,91.0,45.0,1920.0,2,https://rcdb.com/79.htm
cedar fair,california's great america,demon,102.0,50.0,2130.0,4,https://rcdb.com/76.htm
cedar fair,california's great america,gold striker,108.2,53.7,3197.0,0,https://rcdb.com/10857.htm
cedar fair,california's great america,railblazer,106.0,52.0,1800.0,3,https://rcdb.com/15412.htm
cedar fair,california's great america,grizzly,91.0,55.0,3250.0,0,https://rcdb.com/77.htm
cedar fair,california's great america,flight deck,102.0,50.0,2260.0,3,https://rcdb.com/80.htm
cedar fair,kings dominion,tumbili,112.0,34.0,770.0,0,https://rcdb.com/18846.htm
cedar fair,kings dominion,backlot stunt coaster,45.2,40.0,1960.0,0,https://rcdb.com/3302.htm
cedar fair,kings dominion,racer 75,85.0,56.0,3368.5,0,https://rcdb.com/88.htm
cedar fair,kings dominion,flight of fear,74.2,54.0,2705.0,4,https://rcdb.com/138.htm
cedar fair,kings dominion,twisted timbers,111.0,54.0,3361.0,3,https://rcdb.com/15028.htm
cedar fair,kings dominion,reptilian,,41.0,,0,https://rcdb.com/282.htm
cedar fair,kings dominion,grizzly,87.0,51.0,3150.0,0,https://rcdb.com/90.htm
cedar fair,kings dominion,woodstock express,35.0,35.0,1385.0,0,https://rcdb.com/89.htm
cedar fair,kings dominion,rapterra,145.0,65.0,3086.0,3,https://rcdb.com/21885.htm
cedar fair,kings dominion,apple zapple,51.8,35.0,1312.3,0,https://rcdb.com/930.htm
cedar fair,kings dominion,dominator,157.0,65.0,4210.0,5,https://rcdb.com/4079.htm
cedar fair,kings dominion,pantherian,305.0,90.0,5100.0,0,https://rcdb.com/4520.htm
cedar fair,dorney park,hydra the revenge,95.0,53.0,3198.0,7,https://rcdb.com/2528.htm
cedar fair,dorney park,possessed,185.0,70.0,629.9,0,https://rcdb.com/4039.htm
cedar fair,dorney park,iron menace,160.0,64.0,2169.0,4,https://rcdb.com/21085.htm
cedar fair,dorney park,steel force,200.0,75.0,5600.0,0,https://rcdb.com/276.htm
cedar fair,dorney park,thunderhawk,80.0,45.0,2767.0,0,https://rcdb.com/239.htm
cedar fair,dorney park,woodstock express,13.0,10.0,262.5,0,https://rcdb.com/642.htm
cedar fair,dorney park,wild mouse,49.3,28.0,1213.9,0,https://rcdb.com/601.htm
cedar fair,dorney park,talon,135.0,58.0,3110.0,4,https://rcdb.com/735.htm
cedar fair,worlds of fun,cosmic coaster,15.0,5.0,444.0,0,https://rcdb.com/102.htm
cedar fair,worlds of fun,spinning dragons,54.0,31.0,1345.0,0,https://rcdb.com/2572.htm
cedar fair,worlds of fun,mamba,205.0,75.0,5600.0,0,https://rcdb.com/469.htm
cedar fair,worlds of fun,prowler,102.3,51.2,3074.0,0,https://rcdb.com/4296.htm
cedar fair,worlds of fun,boomerang,116.5,47.0,935.0,3,https://rcdb.com/653.htm
cedar fair,worlds of fun,patriot,149.0,60.0,3081.0,4,https://rcdb.com/3244.htm
cedar fair,worlds of fun,timber wolf,100.0,53.0,4230.0,0,https://rcdb.com/22.htm
cedar fair,worlds of fun,zambezi zinger,74.0,45.0,2428.0,0,https://rcdb.com/20340.htm
cedar fair,valleyfair,excalibur,100.0,54.5,2415.0,0,https://rcdb.com/119.htm
cedar fair,valleyfair,mad mouse,50.0,30.0,1257.0,0,https://rcdb.com/547.htm
cedar fair,valleyfair,steel venom,185.0,70.0,630.0,0,https://rcdb.com/1920.htm
cedar fair,valleyfair,high roller,70.0,50.0,2982.0,0,https://rcdb.com/117.htm
cedar fair,valleyfair,cosmic coaster,14.0,20.0,213.3,0,https://rcdb.com/9837.htm
cedar fair,valleyfair,wild thing,207.0,74.0,5460.0,0,https://rcdb.com/137.htm
cedar fair,valleyfair,corkscrew,85.0,50.0,1950.0,3,https://rcdb.com/118.htm
cedar fair,valleyfair,renegade,97.5,51.3,3113.0,0,https://rcdb.com/3660.htm
cedar fair,michigan's adventure,shivering timbers,122.0,57.0,5383.0,0,https://rcdb.com/478.htm
cedar fair,michigan's adventure,zach's zoomer,41.0,,1400.0,0,https://rcdb.com/415.htm
cedar fair,michigan's adventure,thunderhawk,109.3,49.7,2260.5,5,https://rcdb.com/4053.htm
cedar fair,michigan's adventure,mad mouse,68.0,,1268.0,0,https://rcdb.com/537.htm
cedar fair,michigan's adventure,wolverine wildcat,85.0,55.0,3000.0,0,https://rcdb.com/219.htm
cedar fair,michigan's adventure,corkscrew,70.0,45.0,1250.0,2,https://rcdb.com/218.htm
cedar fair,michigan's adventure,woodstock express,16.1,,,0,https://rcdb.com/15124.htm
six flags,six flags magic mountain,riddler's revenge,156.0,65.0,4370.0,6,https://rcdb.com/470.htm
six flags,six flags magic mountain,viper,188.0,70.0,3830.0,7,https://rcdb.com/25.htm
six flags,six flags magic mountain,x2,175.0,76.0,3610.0,2,https://rcdb.com/750.htm
six flags,six flags magic mountain,new revolution,113.0,55.0,3457.0,1,https://rcdb.com/130.htm
six flags,six flags magic mountain,twisted colossus,121.0,57.0,4990.0,2,https://rcdb.com/12282.htm
six flags,six flags magic mountain,full throttle,164.0,70.0,2200.0,2,https://rcdb.com/10948.htm
six flags,six flags magic mountain,gold rusher,70.0,35.0,2590.0,0,https://rcdb.com/266.htm
six flags,six flags magic mountain,ninja,60.0,55.0,2700.0,0,https://rcdb.com/129.htm
six flags,six flags magic mountain,wonder woman flight of courage,131.0,58.0,3300.0,3,https://rcdb.com/19515.htm
six flags,six flags magic mountain,canyon blaster,16.0,10.0,416.0,0,https://rcdb.com/576.htm
six flags,six flags magic mountain,scream!,150.0,63.0,3985.0,7,https://rcdb.com/2169.htm
six flags,six flags magic mountain,batman the ride,105.0,50.0,2700.0,5,https://rcdb.com/24.htm
six flags,six flags magic mountain,tatsu,170.0,62.0,3602.0,4,https://rcdb.com/3305.htm
six flags,six flags magic mountain,speedy gonzales hot rod racers,13.1,,262.5,0,https://rcdb.com/9971.htm
six flags,six flags magic mountain,west coast racers,67.0,55.0,4000.0,4,https://rcdb.com/16588.htm
six flags,six flags magic mountain,road runner express,27.9,21.7,679.1,0,https://rcdb.com/4346.htm
six flags,six flags magic mountain,goliath,235.0,85.0,4500.0,0,https://rcdb.com/615.htm
six flags,six flags magic mountain,apocalypse the ride,95.0,50.1,2877.0,0,https://rcdb.com/4173.htm
six flags,six flags great adventure & safari,nitro,230.0,80.0,5394.0,0,https://rcdb.com/1106.htm
six flags,six flags great adventure & safari,flash: vertical velocity,172.0,59.0,1430.4,2,https://rcdb.com/21088.htm
six flags,six flags great adventure & safari,harley quinn crazy train,26.3,22.4,1181.1,0,https://rcdb.com/567.htm
six flags,six flags great adventure & safari,el toro,181.0,70.0,4400.0,0,https://rcdb.com/3183.htm
six flags,six flags great adventure & safari,lil' devil coaster,13.0,,262.5,0,https://rcdb.com/19460.htm
